case,idx,stream,tag,local_id,rate_s-1,tes_total_keV,bgo_total_keV,x,y,z,layer,local_x_m45,local_y_m45,local_z_m45,n_pix,source_file
current_prompt_final,81805,prompt,eplus,28510,0.0006792218562725798,510.99881000000005,0.0,-1.8190228020315349,0.4123842102819163,-4.428662596246496,4.0,1.8452939949436649,0.4123842102819163,-4.417780711842571,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,83917,prompt,eplus,62189,0.0006792218562725798,510.998954,0.0,-6.508109434227141,-1.4641921194822602,-2.0706368555015318,0.0,-3.1377669517462348,-1.4641921194822602,-6.0660896755460785,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,84240,prompt,eplus,67296,0.0006792218562725798,510.99896,0.0,-5.004851305979937,0.719119347516578,-0.8721778705323843,0.0,-2.9222414106344705,0.719119347516578,-4.155687183943053,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,86571,prompt,eplus,104066,0.0006792218562725798,510.999,0.0,-4.892965671439475,-0.6650098511978105,-2.2925227614652863,1.0,-1.8387908157312278,-0.6650098511978105,-5.0809075970444555,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,88881,prompt,eplus,140058,0.0006792218562725798,510.99890999999997,0.0,-1.7712513446068212,0.5895809670161332,-4.445555693575942,4.0,1.8910187401127405,0.5895809670161332,-4.395946414027288,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,89175,prompt,eplus,144768,0.0006792218562725798,510.99893,0.0,-5.296133763749525,1.0637595257136252,-1.086718790270422,0.0,-2.9765058725752653,1.0637595257136252,-4.513358324261379,2,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,94298,prompt,eplus,224887,0.0006792218562725798,510.99890000000005,0.0,-0.9968213183733468,-0.42395263882728507,-5.344434929538204,5.0,3.074227066433604,-0.42395263882728507,-4.48394529413982,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,94507,prompt,eplus,227938,0.0006792218562725798,510.998878,0.0,-4.770889737088891,-0.5696954264250671,-2.1478310044560414,1.0,-1.854782617295279,-0.5696954264250671,-4.89227435348244,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,95387,prompt,eplus,241096,0.0006792218562725798,510.99890000000005,0.0,-1.8628966375518612,-0.05196358275323606,-4.540633654635813,4.0,1.8934460030142999,-0.05196358275323606,-4.527979693139378,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz
current_prompt_final,96312,prompt,eplus,11466,0.0006792218562725798,510.99886999999995,0.0,-5.90322746477461,1.076969711962181,-1.5981643796580411,0.0,-3.044139300921805,1.076969711962181,-5.30428504153579,1,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz
