VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
TES_SampleBox_Cu,29062,Cu-62,0.0,42.0,580.38,0.07757571733046227,42
CsI_Active_Shield_Top05,55132,Cs-132,0.0,52.0,559785.6,0.07673804102790381,52
CsI_Active_Shield_Bottom00,55130,Cs-130,0.0,41.0,1752.6000000000001,0.07574749848505002,41
CsI_Active_Shield_Side01,53124,I-124,0.0,44.0,360806.4,0.0745500839047919,44
CsI_Active_Shield_Side05,53124,I-124,0.0,43.0,360806.4,0.0728554222647029,43
Passive_Top_W_Aperture_Annulus,74180,W-180,0.0,39.0,1.59,0.07205372760363007,39
CsI_Active_Shield_Side03,53123,I-123,0.0,38.0,47772.0,0.07029445776608483,38
CsI_Active_Shield_Bottom01,53123,I-123,0.0,38.0,47772.0,0.07020786588842745,38
CsI_Active_Shield_Side00,55130,Cs-130,0.0,38.0,1752.6000000000001,0.07020663732214008,38
CsI_Active_Shield_Bottom03,53123,I-123,0.0,37.0,47772.0,0.06835954657485176,37
CsI_Active_Shield_Bottom02,55130,Cs-130,0.0,37.0,1752.6000000000001,0.06835913735909009,37
ColdPlate_60K,13028,Al-28,0.0,36.0,134.484,0.06650999866980002,36
CsI_Active_Shield_Top03,55132,Cs-132,0.0,44.0,559785.6,0.06502749662282567,44
Thermal_Bus_Cu,29062,Cu-62,0.0,35.0,580.38,0.06466249870675002,35
ADR_SaltPill_Proxy,64161,Gd-161,0.0,35.0,218.76,0.0646536058149828,35
CsI_Active_Shield_Side02,55129,Cs-129,0.0,35.0,115416.00000000001,0.06463678690390984,35
CsI_Active_Shield_Bottom02,53124,I-124,0.0,38.0,360806.4,0.06438286547721413,38
CsI_Active_Shield_Top00,55132,Cs-132,0.0,43.0,559785.6,0.06347974730602014,43
ActiveShield_Readout_Box_XM,13028,Al-28,0.0,34.0,134.484,0.06281499874370002,34
CsI_Active_Shield_Bottom02,55129,Cs-129,0.0,34.0,115416.00000000001,0.06278923764298142,34
CsI_Active_Shield_Top01,55132,Cs-132,0.0,40.0,559785.6,0.05903706599634927,40
Outer_Al_Mech_Shell,12023,Mg-23,0.0,31.0,11.3039,0.057099147516366106,31
CsI_Active_Shield_Side03,53124,I-124,0.0,33.0,360806.4,0.055913314341550106,33
CsI_Active_Shield_Bottom02,53123,I-123,0.0,30.0,47772.0,0.05542622755850867,30
ActiveShield_Readout_Box_YM,13028,Al-28,0.0,30.0,134.484,0.055424998891500016,30
CsI_Active_Shield_Side04,55129,Cs-129,0.0,29.0,115416.00000000001,0.0535596815558273,29
CsI_Active_Shield_Bottom00,55129,Cs-129,0.0,29.0,115416.00000000001,0.05355599595795773,29
Thermal_60K_Al_Shield,12027,Mg-27,0.0,29.0,567.48,0.05355245897938846,29
CsI_Active_Shield_Side00,53123,I-123,0.0,28.0,47772.0,0.05173204702070066,28
CsI_Active_Shield_Side02,53123,I-123,0.0,28.0,47772.0,0.051731227657586205,28
ColdPlate_1K,29062,Cu-62,0.0,28.0,580.38,0.051729998965400016,28
CsI_Active_Shield_Side05,55129,Cs-129,0.0,28.0,115416.00000000001,0.05170926571877812,28
CsI_Active_Shield_Top04,55132,Cs-132,0.0,34.0,559785.6,0.05019269142426884,34
CsI_Active_Shield_Top07,55132,Cs-132,0.0,34.0,559785.6,0.05018012723689657,34
CsI_Active_Shield_Side07,55129,Cs-129,0.0,27.0,115416.00000000001,0.04986335450134728,27
CsI_Active_Shield_Bottom01,55129,Cs-129,0.0,27.0,115416.00000000001,0.04986294499047289,27
CsI_Active_Shield_Side06,55129,Cs-129,0.0,27.0,115416.00000000001,0.0498621259687241,27
CsI_Active_Shield_Top04,53126,I-126,0.0,48.0,1117152.0,0.04899713265989431,48
CsI_Active_Shield_Side04,53123,I-123,0.0,26.0,47772.0,0.04803745680133542,26
CsI_Active_Shield_Side05,53123,I-123,0.0,26.0,47772.0,0.048037047119778194,26
Outer_Al_Mech_Shell,9018,F-18,0.0,26.0,6586.2,0.04802979328157296,26
CsI_Active_Shield_Side01,55129,Cs-129,0.0,26.0,115416.00000000001,0.048015395729544476,26
CsI_Active_Shield_Top02,53126,I-126,0.0,47.0,1117152.0,0.04796767131344877,47
CsI_Active_Shield_Top00,53126,I-126,0.0,46.0,1117152.0,0.04695113195884925,46
CsI_Active_Shield_Side04,55128,Cs-128,0.0,25.0,218.4,0.04619036684717013,25
CsI_Active_Shield_Side01,53123,I-123,0.0,25.0,47772.0,0.046189956850874195,25
Passive_W_Outer_Liner,74179,W-179,0.0,25.0,2223.0,0.04618790875781004,25
ActiveShield_Readout_Box_XP,13028,Al-28,0.0,25.0,134.484,0.04618749907625001,25
CsI_Active_Shield_Bottom03,55129,Cs-129,0.0,25.0,115416.00000000001,0.04617112255561123,25
CsI_Active_Shield_Top06,53126,I-126,0.0,44.0,1117152.0,0.0449048973380109,44
CsI_Active_Shield_Top05,53126,I-126,0.0,44.0,1117152.0,0.0448999838707846,44
CsI_Active_Shield_Bottom03,55128,Cs-128,0.0,24.0,218.4,0.044341637839440076,24
Thermal_60K_Al_Shield,11024,Na-24,0.0,24.0,53852.4,0.044340406269662805,24
ActiveShield_Readout_Box_XM,12027,Mg-27,0.0,24.0,567.48,0.04412656971078711,24
Cryoperm_Inner_Mag_Shield,27058,Co-58,0.0,174.0,6122304.0,0.04387708730199248,174
CsI_Active_Shield_Side06,55128,Cs-128,0.0,23.0,218.4,0.042494547557950096,23
CsI_Active_Shield_Side07,53122,I-122,0.0,23.0,217.79999999999998,0.04249372819483006,23
Cryoperm_Inner_Mag_Shield,28057,Ni-57,0.0,23.0,128160.0,0.042454930370886185,23
ActiveShield_Readout_Box_YP,12027,Mg-27,0.0,23.0,567.48,0.042332427098340335,23
CsI_Active_Shield_Top01,53126,I-126,0.0,40.0,1117152.0,0.04082671578657324,40
CsI_Active_Shield_Top07,53126,I-126,0.0,39.0,1117152.0,0.039809716156460485,39
CsI_Active_Shield_Bottom01,53122,I-122,0.0,21.0,217.79999999999998,0.03879995731341011,21
CsI_Active_Shield_Side07,53123,I-123,0.0,21.0,47772.0,0.038798318322800354,21
CsI_Active_Shield_Side03,55129,Cs-129,0.0,21.0,115416.00000000001,0.038781744533646384,21
CsI_Active_Shield_Top06,55132,Cs-132,0.0,26.0,559785.6,0.03838421452584171,26
ADR_Magnet_Yoke_Fe,25052,Mn-52,0.0,24.0,483062.4,0.03743632416982716,24
CsI_Active_Shield_Side01,55128,Cs-128,0.0,20.0,218.4,0.03695122830568006,20
CsI_Active_Shield_Side02,55128,Cs-128,0.0,20.0,218.4,0.036950818624120044,20
Vacuum_Jacket_Al_Reinforcement,11024,Na-24,0.0,20.0,53852.4,0.036950816519845144,20
CsI_Active_Shield_Bottom03,53121,I-121,0.0,20.0,7632.0,0.03694999926100001,20
Thermal_1K_Al_Shield,13028,Al-28,0.0,20.0,134.484,0.03694999926100001,20
Thermal_4K_Al_Shield,12027,Mg-27,0.0,20.0,567.48,0.03694192573235284,20
CsI_Active_Shield_Top02,55132,Cs-132,0.0,25.0,559785.6,0.03689986089879925,25
CsI_Active_Shield_Top03,53126,I-126,0.0,35.0,1117152.0,0.035717020559063846,35
ActiveShield_Al_Backplane_Liner,14027,Si-27,0.0,19.0,4.117,0.03519523639959767,19
CsI_Active_Shield_Side07,55128,Cs-128,0.0,19.0,218.4,0.035192368628677556,19
CsI_Active_Shield_Side07,54125,Xe-125,0.0,19.0,60839.99999999999,0.03510740189586317,19
Outer_Al_Mech_Shell,13025,Al-25,0.0,19.0,7.1666,0.03510098067426311,19
CsI_Active_Shield_Bottom01,53125,I-125,0.0,118.0,5132160.0,0.03501673871405866,118
CsI_Active_Shield_Bottom03,53125,I-125,0.0,117.0,5132160.0,0.03470997015695889,117
CsI_Active_Shield_Side00,53122,I-122,0.0,18.0,217.79999999999998,0.03325663806114008,18
CsI_Active_Shield_Bottom00,53123,I-123,0.0,18.0,47772.0,0.03325581847141665,18
CsI_Active_Shield_Bottom00,53122,I-122,0.0,18.0,217.79999999999998,0.03325540901646003,18
ADR_Magnet_Coil_Cu,29061,Cu-61,0.0,18.0,11998.800000000001,0.03325499933490001,18
ActiveShield_Top_Al_Retainer,13028,Al-28,0.0,18.0,134.484,0.03325499933490001,18
CsI_Active_Shield_Side00,55129,Cs-129,0.0,18.0,115416.00000000001,0.03324155381610753,18
CsI_Active_Shield_Side00,53125,I-125,0.0,110.0,5132160.0,0.03264770954357148,110
CsI_Active_Shield_Top00,53124,I-124,0.0,19.0,360806.4,0.03227234633811282,19
W_Collimator_Aperture_Stop,73183,Ta-183,0.0,20.0,440639.99999999994,0.03198433501879707,20
CsI_Active_Shield_Top01,55131,Cs-131,0.0,26.0,837129.6,0.031609753970955584,26
CsI_Active_Shield_Bottom01,55126,Cs-126,0.0,17.0,98.39999999999999,0.031497368702577556,17
CsI_Active_Shield_Side01,54125,Xe-125,0.0,17.0,60839.99999999999,0.03141117435491701,17
CsI_Active_Shield_Bottom01,55128,Cs-128,0.0,17.0,218.4,0.03140995746121011,17
CsI_Active_Shield_Bottom02,55128,Cs-128,0.0,17.0,218.4,0.031409138098090074,17
CsI_Active_Shield_Side03,55128,Cs-128,0.0,17.0,218.4,0.031407909053410024,17
Passive_Bottom_W_Shield,74179,W-179,0.0,17.0,2223.0,0.03140749937185001,17
CsI_Active_Shield_Side04,54125,Xe-125,0.0,17.0,60839.99999999999,0.031403920192196046,17
CsI_Active_Shield_Side07,52127,Te-127,0.0,17.0,33660.0,0.031390942632915045,17
CsI_Active_Shield_Side04,53125,I-125,0.0,103.0,5132160.0,0.030556347430214875,103
CsI_Active_Shield_Top05,55131,Cs-131,0.0,25.0,837129.6,0.030388691777263804,25
CsI_Active_Shield_Side06,53125,I-125,0.0,102.0,5132160.0,0.03025656756650344,102
CsI_Active_Shield_Bottom00,52127,Te-127,0.0,16.0,33660.0,0.0296397468030042,16
ActiveShield_Flex_Readout_Kapton,6011,C-11,0.0,16.0,1223.4,0.029566554313760273,16
CsI_Active_Shield_Bottom02,53122,I-122,0.0,16.0,217.79999999999998,0.02956204781660009,16
CsI_Active_Shield_Side00,55128,Cs-128,0.0,16.0,218.4,0.02956081877192004,16
