VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Bottom_Quadrant_02,55130,Cs-130,0.1090637424,0.10906374230418968,0.9999999991215199,kept_rescaled,2.0,1752.6000000000001,nubase_ground,2576,29.21,m
Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13028,Al-28,0.1090637424,0.10906374230418968,0.9999999991215199,kept_rescaled,2.0,134.70000000000002,nubase_ground,276,2.245,m
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_side_port_band_00,13028,Al-28,0.1090637424,0.10906374230418968,0.9999999991215199,kept_rescaled,2.0,134.70000000000002,nubase_ground,276,2.245,m
DR_Capillary_CuNi_Still_4K,29064,Cu-64,0.109063742,0.1090637419844361,0.9999999998572953,kept_rescaled,2.0,45721.44,nubase_ground,914,12.7004,h
DR_Continuous_HEX_CuNi_CP_to_Still,29064,Cu-64,0.109063742,0.1090637419844361,0.9999999998572953,kept_rescaled,2.0,45721.44,nubase_ground,914,12.7004,h
Passive_Cu_Liner_detector_bay_side_port_band_01,29064,Cu-64,0.109063742,0.1090637419844361,0.9999999998572953,kept_rescaled,2.0,45721.44,nubase_ground,914,12.7004,h
Plate_300K_Top_Service_Lid,11024,Na-24,0.109063736,0.109063736113976,1.0000000010450405,kept_rescaled,2.0,53841.6,nubase_ground,223,14.9560,h
Window,11024,Na-24,0.109063736,0.109063736113976,1.0000000010450405,kept_rescaled,2.0,53841.6,nubase_ground,223,14.9560,h
Passive_W_Liner_detector_bay_side_port_band_01,74187,W-187,0.1090607984,0.10906068029334647,0.9999989170567677,kept_rescaled,2.0,85712.40000000001,nubase_ground,4206,23.809,h
Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11024,Na-24,0.1083123652,0.10831236527074076,1.000000000653118,kept_rescaled,2.0,53841.6,nubase_ground,223,14.9560,h
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0.1075609944,0.10756099442750552,1.0000000002557203,kept_rescaled,2.0,53841.6,nubase_ground,223,14.9560,h
CsI_Side_Segment_03_below_side_port,55132,Cs-132,0.0871486074,0.08714317942206112,0.9999377158384878,kept_rescaled,2.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_04_above_side_port,55132,Cs-132,0.0871486074,0.08714317942206112,0.9999377158384878,kept_rescaled,2.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_05,55132,Cs-132,0.0871486074,0.08714317942206112,0.9999377158384878,kept_rescaled,2.0,559872.0,nubase_ground,2640,6.480,d
CsI_Side_Segment_07,55134,Cs-134,0.08362495825999999,0.0836151413472963,0.9998826078612421,kept_rescaled,112.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_00,55134,Cs-134,0.07541179278,0.07540293996497256,0.9998826070207181,kept_rescaled,101.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_06,55134,Cs-134,0.06794527860999999,0.06793730234467825,0.9998826075117371,kept_rescaled,91.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_02,55134,Cs-134,0.06346537014999999,0.06345791977250166,0.9998826072001042,kept_rescaled,85.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_06,53126,I-126,0.06025949,0.06025949009816514,1.0000000016290405,kept_rescaled,2.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Bottom_Quadrant_00,53126,I-126,0.0600720436,0.060072043560171526,0.9999999993369882,kept_rescaled,2.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Side_Segment_01,55134,Cs-134,0.057492158822999996,0.05748540967626622,0.9998826075264532,kept_rescaled,77.0,65166444.0,nubase_ground,2702,2.0650,y
ActiveShield_Al_Backplane_detector_bay_above_side_port,13028,Al-28,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,134.70000000000002,nubase_ground,276,2.245,m
ColdPlate_4K,29062,Cu-62,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,580.32,nubase_ground,881,9.672,m
CsI_Bottom_Quadrant_00,55127,Cs-127,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,22500.0,nubase_ground,2463,6.25,h
CsI_Bottom_Quadrant_01,51115,Sb-115,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,1926.0,nubase_ground,2075,32.1,m
CsI_Bottom_Quadrant_01,51117,Sb-117,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,10692.0,nubase_ground,2129,2.97,h
CsI_Bottom_Quadrant_01,55130,Cs-130,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,1752.6000000000001,nubase_ground,2576,29.21,m
CsI_Side_Segment_00,53122,I-122,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,217.79999999999998,nubase_ground,2282,3.63,m
DR_Still_Pot_Cu,29066,Cu-66,0.0545318712,0.05453187115209484,0.9999999991215199,kept_rescaled,1.0,307.2,nubase_ground,951,5.120,m
