production_tag,raw_volume,ZA,exc_keV_decimal,dat_production_count_raw,rpip_count,delta_rpip_minus_dat,status
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,0,266,266,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,8019,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9021,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10023,0,6,6,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10024,0,18,18,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10025,0,4,4,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11022,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11024,0,45,45,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11025,0,55,55,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11026,0,14,14,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12023,0,4,4,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,0,361,361,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,8019,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,9020,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,9021,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,9022,0,3,3,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10023,0,16,16,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10024,0,14,14,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10025,0,6,6,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11022,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,0,91,91,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,0,107,107,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11026,0,19,19,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12023,0,2,2,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,0,588,588,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,9020,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,10023,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,10024,0,5,5,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,10025,0,1,1,0,PASS
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,11022,0,3,3,0,PASS
