production_tag,ZA,nuclide,exc_keV_decimal,state_id,is_ground_state,would_fold_to_ground_if_exc_ignored,activity_day15_direct_Bq
n,40093,Zr-93,0,gs,True,False,0.00000000002400268145274624278202128518
n,41089,Nb-89,0,gs,True,False,0.0006787801777182261301859654053
n,41090,Nb-90,0,gs,True,False,0.001357560304138300239405768682
n,41091,Nb-91,0,gs,True,False,0.0000004262151697141353189011091946
n,41092,Nb-92,0,gs,True,False,0.00000000001781870519573427385114757971
n,41094,Nb-94,0,gs,True,False,0.000001267305412552703921788232803
n,42091,Mo-91,0,gs,True,False,0.0006787801777182261301859654053
n,45097,Rh-97,0,gs,True,False,0.0006787801777182261301859654053
n,45099,Rh-99,0,gs,True,False,0.0003229306265932356568657596806
n,45104,Rh-104,0,gs,True,False,0.0006787801777182261301859654053
n,46101,Pd-101,0,gs,True,False,0.0006787801777181172538454594018
n,46103,Pd-103,0,gs,True,False,0.0003106734498258024708956029299
n,47104,Ag-104,0,gs,True,False,0.0006787801777182261301859654053
n,47105,Ag-105,0,gs,True,False,0.0003022025187460343557799150304
n,47106,Ag-106,0,gs,True,False,0.004751461244027582911301757837
n,47108,Ag-108,0,gs,True,False,0.2443608639785614068669475459
n,47110,Ag-110,0,gs,True,False,0.4357768740951011755793897902
n,47112,Ag-112,0,gs,True,False,0.0006787801777182261301859654053
n,48105,Cd-105,0,gs,True,False,0.0006787801777182261301859654053
n,48109,Cd-109,0,gs,True,False,0.00006051141860718191240884830688
n,49106,In-106,0,gs,True,False,0.0006787801777182261301859654053
n,49107,In-107,0,gs,True,False,0.002036340533154678390557896216
n,49108,In-108,0,gs,True,False,0.001357560355436452260371930811
n,49109,In-109,0,gs,True,False,0.002715120710872904520743861621
n,49110,In-110,0,gs,True,False,0.0006787801777182261301859654053
n,49111,In-111,0,gs,True,False,0.001986342888575823954288227712
n,49114,In-114,0,gs,True,False,0.001357560355436452260371930811
n,49115,In-115,0,gs,True,False,0.0000000000000000001507194763923860548685168857
n,49116,In-116,0,gs,True,False,0.001357560355436452260371930811
n,49119,In-119,0,gs,True,False,0.0006787801777182261301859654053
n,49124,In-124,0,gs,True,False,0.0006787801777182261301859654053
n,50110,Sn-110,0,gs,True,False,0.002036340533154678390557896216
n,50111,Sn-111,0,gs,True,False,0.004751461244027582911301757837
n,50113,Sn-113,0,gs,True,False,0.0007622866712576025280488938937
n,50121,Sn-121,0,gs,True,False,0.002036141203513793152601323215
n,51112,Sb-112,0,gs,True,False,0.001357560355436452260371930811
n,51113,Sb-113,0,gs,True,False,0.002036340533154678390557896216
n,51114,Sb-114,0,gs,True,False,0.004072681066309356781115792431
n,51115,Sb-115,0,gs,True,False,0.007466581954900487432045619457
n,51116,Sb-116,0,gs,True,False,0.01561194408751920099427720433
n,51117,Sb-117,0,gs,True,False,0.009502922488055165822603515673
n,51118,Sb-118,0,gs,True,False,0.01629072426523742712446316974
n,51119,Sb-119,0,gs,True,False,0.01762263814127537460181057824
n,51120,Sb-120,0,gs,True,False,0.01493316390980097486409123893
n,51122,Sb-122,0,gs,True,False,0.009957807594748873394600032174
n,51124,Sb-124,0,gs,True,False,0.0004306706504076970142496322708
n,51125,Sb-125,0,gs,True,False,0.00002091250238738915893026959113
n,52114,Te-114,0,gs,True,False,0.0006787801777182261301859654053
n,52115,Te-115,0,gs,True,False,0.0006787801777182261301859654053
n,52116,Te-116,0,gs,True,False,0.0006787801777182261301859654053
n,52117,Te-117,0,gs,True,False,0.004072681066309356781115792431
n,52118,Te-118,0,gs,True,False,0.005029088949615008033363403297
n,52119,Te-119,0,gs,True,False,0.01425438120933529324321847696
n,52121,Te-121,0,gs,True,False,0.01102152690989285244472862708
n,52123,Te-123,0,gs,True,False,0
n,52127,Te-127,0,gs,True,False,0.02239974586464394646868006444
n,52129,Te-129,0,gs,True,False,0.001357560355436452260371930811
n,53117,I-117,0,gs,True,False,0.0006787801777182261301859654053
n,53118,I-118,0,gs,True,False,0.0006787801777182261301859654053
n,53119,I-119,0,gs,True,False,0.002036340533154678390557896216
n,53120,I-120,0,gs,True,False,0.008824142310336939692417550269
n,53121,I-121,0,gs,True,False,0.01968462515382855777539299678
n,53122,I-122,0,gs,True,False,0.0325814485304748542489263395
n,53123,I-123,0,gs,True,False,0.07330825872621206857580379451
n,53124,I-124,0,gs,True,False,0.112047952055270937144276763
n,53125,I-125,0,gs,True,False,0.03935188918157674360639981102
n,53126,I-126,0,gs,True,False,0.3266572962839382298499013392
n,53128,I-128,0,gs,True,False,65.49414178767620284938342999
n,53129,I-129,0,gs,True,False,0.00000000001316875727070489672020205929
n,53130,I-130,0,gs,True,False,0.002715120706239233358516077927
n,53131,I-131,0,gs,True,False,0.002464893314260066479730605724
n,53132,I-132,0,gs,True,False,0.0006787801777182261301859654053
n,54118,Xe-118,0,gs,True,False,0.0006787801777182261301859654053
n,54119,Xe-119,0,gs,True,False,0.0006787801777182261301859654053
n,54120,Xe-120,0,gs,True,False,0.001357560355436452260371930811
n,54121,Xe-121,0,gs,True,False,0.001357560355436452260371930811
n,54122,Xe-122,0,gs,True,False,0.006108996803006067683886640997
n,54123,Xe-123,0,gs,True,False,0.008824142310336939692417550267
n,54125,Xe-125,0,gs,True,False,0.01629071812671592764474817593
n,54127,Xe-127,0,gs,True,False,0.005910997795058395390811081225
n,54133,Xe-133,0,gs,True,False,0.0175557839199702368467674112
n,55123,Cs-123,0,gs,True,False,0.001357560355436452260371930811
n,55124,Cs-124,0,gs,True,False,0.001357560355436452260371930811
n,55125,Cs-125,0,gs,True,False,0.004751461244027582911301757836
n,55126,Cs-126,0,gs,True,False,0.01289682337664629647353334272
n,55127,Cs-127,0,gs,True,False,0.02579364675329259294706668542
n,55128,Cs-128,0,gs,True,False,0.03529656924134775876967020111
n,55129,Cs-129,0,gs,True,False,0.0610647639792474805376753544
n,55130,Cs-130,0,gs,True,False,0.1221804319892807034334737728
n,55131,Cs-131,0,gs,True,False,0.1666086741227509592860861603
n,55132,Cs-132,0,gs,True,False,0.4311707442313638411084208789
n,55134,Cs-134,0,gs,True,False,1.129156408281132147093022072
n,56127,Ba-127,0,gs,True,False,0.0006787801777182261301859654053
n,56128,Ba-128,0,gs,True,False,0.0006693717012843142725071628278
n,56129,Ba-129,0,gs,True,False,0.002036340533154678390557896216
n,56131,Ba-131,0,gs,True,False,0.000807015122279924736853894603
n,56133,Ba-133,0,gs,True,False,0.000003662225835846872079124047756
n,69159,Tm-159,0,gs,True,False,0.0006787801777182261301859654053
n,71165,Lu-165,0,gs,True,False,0.0006787801777182261301859654053
n,71166,Lu-166,0,gs,True,False,0.0006787801777182261301859654053
n,71170,Lu-170,0,gs,True,False,0.0006749123266767432262829115054
n,72170,Hf-170,0,gs,True,False,0.000678780062164264599373757408
n,72172,Hf-172,0,gs,True,False,0.00003076337450570792971367015764
n,72174,Hf-174,0,gs,True,False,0
n,72181,Hf-181,0,gs,True,False,0.0002952838819907663224572385458
n,73172,Ta-172,0,gs,True,False,0.001357560355436452260371930811
n,73173,Ta-173,0,gs,True,False,0.0006787801777182261301859654053
n,73174,Ta-174,0,gs,True,False,0.0006787801777182261301859654053
n,73175,Ta-175,0,gs,True,False,0.002715120710743258049823822605
n,73178,Ta-178,0,gs,True,False,0.001357560355436452260371930811
n,73179,Ta-179,0,gs,True,False,0.00006320386101801271898297008411
n,73180,Ta-180,0,gs,True,False,0.005430241421745531013126929856
n,73182,Ta-182,0,gs,True,False,0.07726771843853266098799169988
n,73183,Ta-183,0,gs,True,False,0.001180803280230563978086260743
n,73184,Ta-184,0,gs,True,False,0.0006787801777179888286358351134
n,73185,Ta-185,0,gs,True,False,0.001357560355436452260371930811
n,73186,Ta-186,0,gs,True,False,0.0006787801777182261301859654053
n,74177,W-177,0,gs,True,False,0.002036340533154678390557896216
n,74178,W-178,0,gs,True,False,0.0005186596902119971681290985597
n,74179,W-179,0,gs,True,False,0.004072681066309356781115792432
n,74180,W-180,0,gs,True,False,0
n,74181,W-181,0,gs,True,False,0.001900926821506440809350332704
n,74183,W-183,0,gs,True,False,0
n,74185,W-185,0,gs,True,False,0.05291844979266926353708277927
n,74187,W-187,0,gs,True,False,0.983524863860561592784838223
