production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,activity_day15_direct_Bq,half_life_s,half_life_bin,near_focal_plane_heuristic,beta_plus_relevant_heuristic,line_or_cascade_risk_status
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,Al-26,0,gs,0.0000000001077823964394627649321703059,22626799200000,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13029,Al-29,0,gs,0.0006787041637143035545094462046,393.6,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,14027,Si-27,0,gs,0.0006787041637143035545094462046,4.117,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,15030,P-30,0,gs,0.002036112491142910663528338614,150,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,11025,Na-25,0,gs,0.0006787041637143035545094462046,59.1,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,13026,Al-26,0,gs,0.00000000002694559910986569123304257647,22626799200000,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,13028,Al-28,0,gs,0.0006787041637143035545094462046,134.7,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,15030,P-30,0,gs,0.001357408327428607109018892409,150,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,Na-22,0,gs,0.000007384870456198248807516784355,82109719.44,gt_5us,True,True,BETA_PLUS_HEURISTIC
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,Mg-23,0,gs,0.0006787041637143035545094462046,11.3039,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,gs,0.0006787041637143035545094462046,566.1,gt_5us,True,False,UNASSESSED_NATIVE_DECAY_TABLE_REQUIRED
