event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25228,1,0,511,48.29580649,51.9304182,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25229,1,0,511,35.68846819,63.76568432,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25230,2,1,511,1.315021483,8.402919177,10000,-0.002292751697,-0.007054324234,0.9999724895,laue_bfull_diffracted,BFullLaueBraggProcess
25232,1,0,511,-13.46859138,67.08971641,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25233,2,1,511,-6.50695233,-0.8004188137,10000,0.0031504433,-0.006695143403,0.9999726245,laue_bfull_diffracted,BFullLaueBraggProcess
25237,2,1,511,-0.7668578939,5.43928099,10000,0.007276155712,-0.0009195822796,0.9999731056,laue_bfull_diffracted,BFullLaueBraggProcess
25238,1,0,511,-76.78401882,-10.50922827,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25239,1,0,511,-63.18443238,-20.33120699,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25240,1,0,511,-67.00747337,-35.03385902,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25241,1,0,511,-44.98158417,-54.50592795,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25242,1,0,511,-29.64228123,-60.3714113,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25243,2,1,511,4.629250734,8.974944877,10000,0.001418714999,0.007442550734,0.9999712974,laue_bfull_diffracted,BFullLaueBraggProcess
25244,1,0,511,-2.054237768,-71.14131942,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25247,2,1,511,-7.356391541,9.13432999,10000,-0.005475939927,0.005142541469,0.9999717838,laue_bfull_diffracted,BFullLaueBraggProcess
25248,2,1,511,-1.78592044,-7.368009598,10000,-0.006572704877,0.003612786586,0.9999718733,laue_bfull_diffracted,BFullLaueBraggProcess
25249,2,1,511,-1.473962795,-0.1100332597,10000,-0.006987009945,0.001793258805,0.9999739826,laue_bfull_diffracted,BFullLaueBraggProcess
25252,1,0,511,60.05190949,37.20401993,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25255,1,0,511,29.84141843,62.28732905,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25256,1,0,511,11.59202546,78.24306277,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25257,1,0,511,-19.47856708,71.01502485,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25258,1,0,511,-36.70075834,67.19685648,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25259,1,0,511,-47.22249165,55.48559376,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25260,1,0,511,-51.48201143,42.6314461,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25261,2,1,511,0.1938449234,2.972576286,10000,0.006783857394,-0.002686848569,0.9999733797,laue_bfull_diffracted,BFullLaueBraggProcess
25262,2,1,511,-6.120725228,4.489000973,10000,0.007473577847,-0.000943840193,0.999971627,laue_bfull_diffracted,BFullLaueBraggProcess
25263,2,1,511,6.663273159,7.311171471,10000,0.007256330013,0.0009167361747,0.9999732523,laue_bfull_diffracted,BFullLaueBraggProcess
25264,1,0,511,-68.77442369,-23.48905943,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25266,1,0,511,-47.16553661,-60.088338,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25267,1,0,511,-22.74805368,-71.20724906,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25269,1,0,511,2.291259515,-65.20928888,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25270,2,1,511,2.278058342,-3.640174918,10000,-0.002274238701,0.007002218257,0.999972898,laue_bfull_diffracted,BFullLaueBraggProcess
25274,2,1,511,-0.2302252322,-7.752816426,10000,-0.007185350589,0.001845194843,0.9999724826,laue_bfull_diffracted,BFullLaueBraggProcess
25275,1,0,511,69.98912828,-4.809392436,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25276,2,1,511,-7.057799833,6.927422291,10000,-0.007184771442,-0.001845236128,0.9999724867,laue_bfull_diffracted,BFullLaueBraggProcess
25277,2,1,511,7.361389362,-7.643820472,10000,-0.006513959127,-0.003580347331,0.9999723743,laue_bfull_diffracted,BFullLaueBraggProcess
25279,1,0,511,37.23820453,61.15594492,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25284,1,0,511,-38.89437349,49.53628999,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25285,2,1,511,-5.905506185,-9.155616201,10000,0.006213858881,-0.004514855927,0.9999705016,laue_bfull_diffracted,BFullLaueBraggProcess
25286,2,1,511,2.28277845,0.4390722557,10000,0.006960175085,-0.002755726972,0.9999719806,laue_bfull_diffracted,BFullLaueBraggProcess
25288,1,0,511,-77.63239752,-6.861497774,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25290,1,0,511,-62.90683703,-42.00446983,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25291,2,1,511,-1.373484414,0.7230106224,10000,0.004709246795,0.005692914577,0.9999727065,laue_bfull_diffracted,BFullLaueBraggProcess
25292,2,1,511,-5.950602428,0.6139311279,10000,0.003025636397,0.006430332565,0.9999747479,laue_bfull_diffracted,BFullLaueBraggProcess
25293,1,0,511,-13.74473907,-80.9327681,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25294,1,0,511,2.035670485,-80.80189397,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25296,2,1,511,1.453282915,-6.682866248,10000,-0.003968352378,0.006253227728,0.9999725743,laue_bfull_diffracted,BFullLaueBraggProcess
25297,1,0,511,51.69740296,-55.91545819,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25298,1,0,511,70.34907724,-30.51923679,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25299,1,0,511,80.03268571,-24.27557059,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25300,1,0,511,83.03977093,-3.682946722,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25302,1,0,511,62.07471428,43.53523912,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25306,2,1,511,-7.452202815,7.28631253,10000,-0.000468637248,-0.007445482647,0.9999721722,laue_bfull_diffracted,BFullLaueBraggProcess
25307,1,0,511,-7.977709993,74.00045146,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25309,2,1,511,-6.59908549,-3.306523169,10000,0.004695996106,-0.005675704676,0.9999728666,laue_bfull_diffracted,BFullLaueBraggProcess
25310,1,0,511,-53.18332825,45.15911342,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25311,1,0,511,-61.17621673,18.50807704,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25312,2,1,511,4.393015051,4.340240331,10000,0.007473717974,-0.0009442155457,0.9999716256,laue_bfull_diffracted,BFullLaueBraggProcess
25313,2,1,511,-3.519435396,7.829899836,10000,0.0074164924,0.0009381562184,0.9999720574,laue_bfull_diffracted,BFullLaueBraggProcess
25315,2,1,511,-3.830278029,-0.3944924188,10000,0.005877077896,0.004269485511,0.9999736154,laue_bfull_diffracted,BFullLaueBraggProcess
25317,2,1,511,-6.956375487,-3.076161292,10000,0.003164711407,0.006725735517,0.9999723742,laue_bfull_diffracted,BFullLaueBraggProcess
25318,1,0,511,-18.17427975,-80.29172381,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
