tag,VN,ZA,exc_keV,nuclide,reason,detail
p,Plate_300K_Top_Service_Lid,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
p,Window,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
p,Window,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
p,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,ActiveShield_Al_Backplane_detector_bay_below_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
p,Passive_W_Bottom_Plate_detector_bay,74180,0.0,W-180,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_below_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_side_port_band_00,72171,0.0,Hf-171,SKIPPED/UNKNOWN,None
p,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14026,0.0,Si-26,SKIPPED/UNKNOWN,None
p,W_Side_Aperture_Sleeve_collimator_ZM_panel,75177,0.0,Re-177,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
p,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
p,Passive_W_Liner_detector_bay_below_side_port,72171,0.0,Hf-171,SKIPPED/UNKNOWN,None
p,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9020,0.0,F-20,SKIPPED/UNKNOWN,None
