production_tag,source_file,source_files_count,source_files,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_raw_token,exc_keV_decimal,state_id,nubase_line,production_count_raw,TT_file_s,TT_tag_sum_s,production_rate_s-1,half_life_s,half_life_authority,activity_day15_direct_Bq,state_class,source_row_count
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep03_part01.dat.inc1.dat,CsI_Side_Segment_02,CsI_Side_Segment_02,51114,Sb-114,0.00,0,gs,2050,1,184.037,1473.396,0.0006787041637143035545094462046,209.4,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,CsI_Side_Segment_02,CsI_Side_Segment_02,53126,I-126,0.00,0,gs,2424,1,183.72,1473.396,0.0006787041637143035545094462046,1117152,NUBASE2020_STATE,0.0003749950805727525390322764552,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_Side_Segment_02,CsI_Side_Segment_02,55124,Cs-124,0.00,0,gs,2354,1,185.196,1473.396,0.0006787041637143035545094462046,30.9,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep06_part01.dat.inc1.dat,CsI_Side_Segment_02,CsI_Side_Segment_02,55132,Cs-132,0.00,0,gs,2640,1,185.196,1473.396,0.0006787041637143035545094462046,559872,NUBASE2020_STATE,0.0005422924013380702811735609436,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,CsI_Side_Segment_03_below_side_port,CsI_Side_Segment_03_below_side_port,55131,Cs-131,0.00,0,gs,2611,1,184.443,1473.396,0.0006787041637143035545094462046,837129.6,NUBASE2020_STATE,0.0004466220274868972767674135128,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_Side_Segment_04_below_side_port,CsI_Side_Segment_04_below_side_port,51120,Sb-120,0.00,0,gs,2215,1,183.734,1473.396,0.0006787041637143035545094462046,953.4,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep02_part01.dat.inc1.dat,CsI_Side_Segment_04_rectcut_window_band,Window,53122,I-122,0.00,0,gs,2282,1,184.443,1473.396,0.0006787041637143035545094462046,217.8,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep07_part01.dat.inc1.dat,CsI_Side_Segment_05,CsI_Side_Segment_05,53128,I-128,0.00,0,gs,2498,1,184.367,1473.396,0.0006787041637143035545094462046,1499.4,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep05_part01.dat.inc1.dat,CsI_Side_Segment_06,CsI_Side_Segment_06,50111,Sn-111,0.00,0,gs,1980,1,183.72,1473.396,0.0006787041637143035545094462046,2118,NUBASE2020_STATE,0.0006787041637143035545094462046,EMITTED_CANDIDATE,1
alpha,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,1,runs/step02_buildup_fix5_fullstat_v2/Background_alpha_fullsphere20_rep08_part01.dat.inc1.dat,CsI_TopAnnulus_Segment_00,CsI_TopAnnulus_Segment_00,56131,Ba-131,0.00,0,gs,2612,1,183.734,1473.396,0.0006787041637143035545094462046,995328,NUBASE2020_STATE,0.000403462373866759445525846412,EMITTED_CANDIDATE,1
