case,M,seed,ZA,nuclide,activity_Bq,activity_fraction,expected_draws,miss_probability_if_multinomial,dominant_incident_family,dominant_incident_family_activity_Bq,dominant_category,dominant_category_activity_Bq
M5000_seed260613,5000,260613,75184,Re-184,0.000518449299,6.054055376162815e-06,0.03027027688081408,0.9701832799988329,p,0.000518449299,W/collimator,0.000518449299
M5000_seed260613,5000,260613,50125,Sn-125,0.000449953627,5.254215175558195e-06,0.026271075877790973,0.9740710066639462,muminus,0.000449953627,CsI active shield,0.000449953627
M5000_seed260613,5000,260613,27057,Co-57,0.0004075755719,4.7593565793476535e-06,0.02379678289673827,0.9764841278720965,n,0.00028014948598,other,0.00015283091919999998
M5000_seed260613,5000,260613,46103,Pd-103,0.000310502942,3.6258164664419207e-06,0.018129082332209605,0.9820342609037921,n,0.000310502942,CsI active shield,0.000310502942
M5000_seed260613,5000,260613,47105,Ag-105,0.00030203666,3.5269536843780367e-06,0.01763476842189018,0.982519814097329,n,0.00030203666,CsI active shield,0.00015101833
M5000_seed260613,5000,260613,75183,Re-183,0.0002811739731,3.28333514341026e-06,0.0164166757170513,0.9837173435180967,p,0.0002811739731,W/collimator,0.0002811739731
M5000_seed260613,5000,260613,39091,Y-91,0.000221418266,2.5855535849763936e-06,0.01292776792488197,0.9871554367307804,muminus,0.000110969309,other,0.000221418266
M5000_seed260613,5000,260613,50123,Sn-123,0.00015785946619999999,1.8433624114636948e-06,0.009216812057318472,0.9908255325609424,muminus,0.0001054043966,CsI active shield,0.00015785946619999999
M5000_seed260613,5000,260613,72181,Hf-181,0.000148256106,1.73122169768478e-06,0.0086561084884239,0.9913812477543882,muminus,0.000148256106,W/collimator,0.000148256106
M5000_seed260613,5000,260613,73179,Ta-179,0.0001476923422,1.7246384941374724e-06,0.008623192470687362,0.9914138806141919,n,8.426524456e-05,W/collimator,0.00011610775569999999
M5000_seed260613,5000,260613,39088,Y-88,0.000126055123,1.4719755558797947e-06,0.007359877779398973,0.992667139798409,n,0.000126055123,other,0.000126055123
M5000_seed260613,5000,260613,72175,Hf-175,9.2839041e-05,1.0841034916393049e-06,0.005420517458196525,0.9945941470382101,n,9.2839041e-05,W/collimator,9.2839041e-05
M5000_seed260613,5000,260613,27060,Co-60,8.7741023599998e-05,1.024572733843346e-06,0.005122863669216731,0.9948902358183608,n,7.3110058652677e-05,other,6.5819515939998e-05
M5000_seed260613,5000,260613,40088,Zr-88,7.95884562e-05,9.293732715377994e-07,0.004646866357688997,0.9953639136216124,p,7.95884562e-05,other,7.95884562e-05
M5000_seed260613,5000,260613,21046,Sc-46,7.91971386e-05,9.248037631506984e-07,0.004624018815753492,0.995386655500167,n,7.91971386e-05,other,7.91971386e-05
M5000_seed260613,5000,260613,26055,Fe-55,7.668221753e-05,8.954364335895899e-07,0.00447718216794795,0.9955328254712227,n,6.970848895e-05,Al shells,4.182317358e-05
M5000_seed260613,5000,260613,25054,Mn-54,6.670830760000001e-05,7.78968722765122e-07,0.0038948436138256095,0.996112731451806,n,4.44586e-05,Cu/support,4.44586e-05
M5000_seed260613,5000,260613,51125,Sb-125,6.293283783e-05,7.348816671886253e-07,0.0036744083359431263,0.9963323340417556,muminus,4.8982409559999995e-05,CsI active shield,6.293283783e-05
M5000_seed260613,5000,260613,71173,Lu-173,4.18517689e-05,4.887130274834622e-07,0.002443565137417311,0.9975594179375991,n,4.18517689e-05,TES/absorber,2.79011793e-05
M5000_seed260613,5000,260613,56133,Ba-133,3.8464189219999996e-05,4.4915545644721716e-07,0.0022457772822360856,0.9977567425888553,p,3.4802853249999995e-05,CsI active shield,3.8464189219999996e-05
M5000_seed260613,5000,260613,28063,Ni-63,2.38543212139999e-05,2.785525640962064e-07,0.001392762820481032,0.9986082066235352,n,2.21359189719988e-05,Cu/support,1.01135855379997e-05
M5000_seed260613,5000,260613,23049,V-49,2.10411699e-05,2.4570272927276196e-07,0.0012285136463638098,0.9987722406675992,n,2.10411699e-05,other,2.10411699e-05
M5000_seed260613,5000,260613,71174,Lu-174,1.742787194e-05,2.0350939236863368e-07,0.0010175469618431683,0.9989829705635163,n,1.742787194e-05,W/collimator,1.742787194e-05
M5000_seed260613,5000,260613,41094,Nb-94,9.996570934619926e-07,1.1673232874778889e-08,5.836616437389445e-05,0.9999416355388976,n,9.987104393204981e-07,other,9.996570934619926e-07
M5000_seed260613,5000,260613,41091,Nb-91,4.5440607060001e-07,5.306207415041775e-09,2.6531037075208877e-05,0.9999734693148696,n,4.2600210640001e-07,other,4.5440607060001e-07
M5000_seed260613,5000,260613,6014,C-14,1.11803455389995e-07,1.3055554544734347e-09,6.527777272367174e-06,0.9999934722440336,n,1.11803455389995e-07,other,6.437168646e-08
M5000_seed260613,5000,260613,18039,Ar-39,7.20542112e-08,8.413941064862563e-10,4.206970532431282e-06,0.9999957930383169,n,7.20542112e-08,other,7.20542112e-08
M5000_seed260613,5000,260613,28059,Ni-59,6.96217823429971e-08,8.129900580532156e-10,4.0649502902660775e-06,0.9999959350579717,n,6.67588978220307e-08,Cu/support,3.93403429279985e-08
M5000_seed260613,5000,260613,13026,Al-26,2.3959571465998312e-08,2.7978159624107094e-10,1.3989079812053548e-06,0.9999986010929973,p,1.3530173565162321e-08,Cu/support,8.27346851539898e-09
M5000_seed260613,5000,260613,20041,Ca-41,1.94459561e-10,2.270750395437049e-12,1.1353751977185244e-08,0.9999999886462481,p,1.94459561e-10,other,1.94459561e-10
M5000_seed260613,5000,260613,40093,Zr-93,7.213805490000001e-11,8.423731692484617e-13,4.211865846242309e-09,0.9999999957881341,muminus,3.60878642e-11,other,7.213805490000001e-11
M5000_seed260613,5000,260613,25053,Mn-53,4.697884211e-11,5.485830768611948e-13,2.7429153843059743e-09,0.9999999972570847,n,4.1754711560000005e-11,other,2.0882147390000002e-11
M5000_seed260613,5000,260613,53129,I-129,2.3970612270001e-11,2.7991052232691684e-13,1.3995526116345842e-09,0.9999999986004474,n,1.4367427870001e-11,CsI active shield,2.3970612270001e-11
M5000_seed260613,5000,260613,26060,Fe-60,7.40554791e-12,8.647633862065807e-14,4.323816931032903e-10,0.9999999995676183,muminus,7.40554791e-12,Cu/support,7.40554791e-12
M5000_seed260613,5000,260613,41092,Nb-92,6.1220737999997994e-12,7.148890715763953e-14,3.574445357881977e-10,0.9999999996425555,n,5.8437454649998e-12,other,6.1220737999997994e-12
M5000_seed260613,5000,260613,46107,Pd-107,2.97100833e-12,3.469316862334306e-14,1.7346584311671532e-10,0.9999999998265342,n,2.97100833e-12,CsI active shield,2.97100833e-12
M5000_seed260614,5000,260614,52127,Te-127,0.024455259357,0.0002855698612598603,1.4278493062993016,0.23982415629205558,n,0.016969886012,CsI active shield,0.024455259357
M5000_seed260614,5000,260614,9018,F-18,0.0217170297730001,0.0002535949052397488,1.2679745261987438,0.2814010153220453,n,0.0142498110743693,Cu/support,0.010178605876000101
M5000_seed260614,5000,260614,29061,Cu-61,0.021040379247,0.00024569349663023635,1.2284674831511815,0.29274086439667496,n,0.0128929007646,other,0.016287388706
M5000_seed260614,5000,260614,54133,Xe-133,0.019918700927000002,0.00023259539296490323,1.1629769648245163,0.3125543312790872,n,0.012874982921333301,CsI active shield,0.019918700927000002
M5000_seed260614,5000,260614,51118,Sb-118,0.019680449906,0.00022981327930915433,1.1490663965457717,0.31693252059637844,n,0.014925715487600001,CsI active shield,0.019680449906
M5000_seed260614,5000,260614,51119,Sb-119,0.016938032122,0.0001977894166847211,0.9889470834236054,0.37196813632288356,n,0.014226168333,CsI active shield,0.016938032122
