source_name,flux_Bq
S_ColdPlate_Still_0p7K_29064_z009,0.054531871
S_CsI_Side_Segment_04_side_port_band_00_53128_z000,0.0545318712
S_CsI_Side_Segment_04_side_port_band_00_53128_z002,0.0545318712
S_CsI_Side_Segment_04_side_port_band_00_53128_z003,0.0545318712
S_CsI_Side_Segment_04_side_port_band_00_53128_z004,0.163595613
S_CsI_Side_Segment_04_side_port_band_00_53128_z005,0.218127485
S_CsI_Side_Segment_04_side_port_band_00_53128_z006,0.0545318712
S_CsI_Side_Segment_04_side_port_band_00_53128_z008,0.109063742
S_CsI_Side_Segment_04_side_port_band_00_53128_z009,0.0545318712
S_Plate_300K_Top_Service_Lid_13028_z000,0.163595613
S_Plate_300K_Top_Service_Lid_13028_z001,0.0545318713
S_Plate_300K_Top_Service_Lid_13028_z002,0.0545318713
S_Plate_300K_Top_Service_Lid_13028_z003,0.109063742
S_Plate_300K_Top_Service_Lid_13028_z004,0.109063742
S_Plate_300K_Top_Service_Lid_13028_z005,0.0545318713
S_Plate_300K_Top_Service_Lid_13028_z007,0.0545318713
S_Plate_300K_Top_Service_Lid_13028_z008,0.109063742
S_Plate_300K_Top_Service_Lid_13028_z009,0.0545318713
S_Passive_W_Liner_detector_bay_above_side_port_74187_z000,0.10906068
S_Passive_W_Liner_detector_bay_above_side_port_74187_z001,0.0545303402
S_Passive_W_Liner_detector_bay_above_side_port_74187_z002,0.10906068
S_Passive_W_Liner_detector_bay_above_side_port_74187_z003,0.0545303402
S_Passive_W_Liner_detector_bay_above_side_port_74187_z004,0.0545303402
S_Passive_W_Liner_detector_bay_above_side_port_74187_z006,0.0545303402
S_Passive_W_Liner_detector_bay_above_side_port_74187_z008,0.0545303402
S_Passive_W_Liner_detector_bay_above_side_port_74187_z009,0.272651701
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z000,0.107668339
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z003,0.107668339
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z004,0.107668339
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z005,0.0538341697
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z006,0.0538341697
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z007,0.161502509
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z008,0.107668339
S_Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port_12027_z009,0.0538341697
S_ColdPlate_4K_29066_z000,0.109063742
S_ColdPlate_4K_29066_z001,0.0545318713
S_ColdPlate_4K_29066_z003,0.0545318713
S_ColdPlate_4K_29066_z005,0.109063742
S_ColdPlate_4K_29066_z006,0.0545318713
S_ColdPlate_4K_29066_z007,0.0545318713
S_ColdPlate_4K_29066_z008,0.0545318713
S_ColdPlate_4K_29066_z009,0.163595613
S_CsI_TopAnnulus_Segment_06_53128_z000,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z001,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z002,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z003,0.109063742
S_CsI_TopAnnulus_Segment_06_53128_z004,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z005,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z006,0.109063742
S_CsI_TopAnnulus_Segment_06_53128_z008,0.0545318713
S_CsI_TopAnnulus_Segment_06_53128_z009,0.109063742
S_DR_MXC_Sinter_HEX_AgProxy_47110_z000,0.109063742
S_DR_MXC_Sinter_HEX_AgProxy_47110_z001,0.109063742
S_DR_MXC_Sinter_HEX_AgProxy_47110_z002,0.0545318713
S_DR_MXC_Sinter_HEX_AgProxy_47110_z003,0.0545318713
S_DR_MXC_Sinter_HEX_AgProxy_47110_z004,0.109063742
S_DR_MXC_Sinter_HEX_AgProxy_47110_z005,0.0545318713
S_DR_MXC_Sinter_HEX_AgProxy_47110_z006,0.0545318713
S_DR_MXC_Sinter_HEX_AgProxy_47110_z009,0.109063742
S_CsI_TopAnnulus_Segment_04_53128_z000,0.109063742
S_CsI_TopAnnulus_Segment_04_53128_z003,0.0545318713
S_CsI_TopAnnulus_Segment_04_53128_z004,0.109063742
S_CsI_TopAnnulus_Segment_04_53128_z005,0.0545318713
S_CsI_TopAnnulus_Segment_04_53128_z008,0.163595613
S_CsI_TopAnnulus_Segment_04_53128_z009,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z000,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z001,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z003,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z005,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z006,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_13028_z009,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z000,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z002,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z003,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z006,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z008,0.0545318713
S_Outer_Al_Mechanical_Shell_detector_bay_bottom_cap_13028_z009,0.109063742
S_Window_13028_z000,0.163595613
S_Window_13028_z002,0.0545318713
S_Window_13028_z004,0.0545318713
S_Window_13028_z008,0.109063742
S_Window_13028_z009,0.0545318713
S_ColdPlate_MXC_50mK_SD_anchor_29064_z000,0.054531871
S_ColdPlate_MXC_50mK_SD_anchor_29064_z004,0.054531871
S_ColdPlate_MXC_50mK_SD_anchor_29064_z005,0.109063742
S_ColdPlate_MXC_50mK_SD_anchor_29064_z006,0.054531871
S_ColdPlate_MXC_50mK_SD_anchor_29064_z007,0.054531871
S_ColdPlate_MXC_50mK_SD_anchor_29064_z008,0.054531871
S_ColdPlate_MXC_50mK_SD_anchor_29064_z009,0.054531871
S_Passive_W_Liner_detector_bay_below_side_port_74187_z000,0.0545303402
S_Passive_W_Liner_detector_bay_below_side_port_74187_z001,0.0545303402
S_Passive_W_Liner_detector_bay_below_side_port_74187_z003,0.10906068
S_Passive_W_Liner_detector_bay_below_side_port_74187_z004,0.0545303402
S_Passive_W_Liner_detector_bay_below_side_port_74187_z005,0.0545303402
S_Passive_W_Liner_detector_bay_below_side_port_74187_z006,0.0545303402
S_Passive_W_Liner_detector_bay_below_side_port_74187_z009,0.0545303402
S_CsI_Side_Segment_03_side_port_band_00_53128_z000,0.109063742
S_CsI_Side_Segment_03_side_port_band_00_53128_z001,0.0545318712
S_CsI_Side_Segment_03_side_port_band_00_53128_z002,0.0545318712
S_CsI_Side_Segment_03_side_port_band_00_53128_z007,0.0545318712
S_CsI_Side_Segment_03_side_port_band_00_53128_z009,0.0545318712
S_CsI_Side_Segment_04_above_side_port_53128_z000,0.0545318712
S_CsI_Side_Segment_04_above_side_port_53128_z003,0.0545318712
S_CsI_Side_Segment_04_above_side_port_53128_z004,0.0545318712
S_CsI_Side_Segment_04_above_side_port_53128_z005,0.109063742
S_CsI_Side_Segment_04_above_side_port_53128_z009,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_12027_z000,0.161341501
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_12027_z002,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_12027_z008,0.0537805002
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port_12027_z009,0.0537805002
S_DR_MXC_Sinter_HEX_AgProxy_47108_z000,0.0545318712
S_DR_MXC_Sinter_HEX_AgProxy_47108_z001,0.0545318712
S_DR_MXC_Sinter_HEX_AgProxy_47108_z003,0.0545318712
S_DR_MXC_Sinter_HEX_AgProxy_47108_z007,0.0545318712
S_DR_MXC_Sinter_HEX_AgProxy_47108_z009,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_13028_z000,0.0545318712
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_13028_z006,0.109063742
S_Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port_13028_z007,0.0545318712
