particle,bin_id,theta_mid_deg,rows_seen,numeric_rows,rows_kept,rows_dropped,pdf_integral,raw_spectrum_path,cosima_spectrum_path
eminus,03,49.458398,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin03_theta49.46_pdf.dat
eminus,04,56.632987,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin04_theta56.63_pdf.dat
eminus,05,63.256316,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin05_theta63.26_pdf.dat
eminus,06,69.512685,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin06_theta69.51_pdf.dat
eminus,07,75.522488,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin07_theta75.52_pdf.dat
eminus,08,81.373073,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin08_theta81.37_pdf.dat
eminus,09,87.134016,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin09_theta87.13_pdf.dat
eminus,10,92.865984,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin10_theta92.87_pdf.dat
eminus,11,98.626927,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin11_theta98.63_pdf.dat
eminus,12,104.477512,143,80,80,63,1.000000000000e+00,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_eminus_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/eminus_bin12_theta104.48_pdf.dat
