dataset,event_id,primary_energy_keV,depth_from_geoopt_outer_radius_cm,r_cm,z_cm,VN,category,weight
Mass_model_511,235472,684.553,19.9942246413,7.90577535869,-16.70705,Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,0.125
Mass_model_511,849043,1874.37,1.81859660681,26.0814033932,-3.758906,CsI_Side_Segment_02,csi,0.125
Mass_model_511,272806,964.904,15.5967327564,12.3032672436,-21.63983,CsI_Side_Segment_00,csi,0.125
Mass_model_511,592251,1783.01,12.196766898,15.703233102,19.91279,CsI_TopAnnulus_Segment_04,csi,0.125
Mass_model_511,635555,2591.96,20.1990433886,7.70095661136,-19.96473,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,849892,2240.63,8.32242130644,19.5775786936,-11.55779,CsI_Side_Segment_01,csi,0.125
Mass_model_511,25417,12247.5,11.1887994366,16.7112005634,4.839468,Cu_50mK_StillLike_Can_side_wall_below_side_port,passive_w_or_collimator,0.125
Mass_model_511,872798,3737.93,3.29052123362,24.6094787664,-0.4346539,CsI_Side_Segment_05,csi,0.125
Mass_model_511,892256,3920.99,4.11620505735,23.7837949426,-10.80048,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,157725,124.318,13.3654317506,14.5345682494,4.683412,ColdPlate_CP_100mK_intercept,cold_plates,0.125
Mass_model_511,790396,4636.34,5.53704223124,22.3629577688,-9.798633,CsI_Side_Segment_06,csi,0.125
Mass_model_511,296812,454.587,2.23024604318,25.6697539568,0.4507633,CsI_Side_Segment_05,csi,0.125
Mass_model_511,342862,492.631,8.23715486809,19.6628451319,-8.85681,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,767171,5081.32,10.1286633477,17.7713366523,16.4,CsI_Side_Segment_04_above_side_port,csi,0.125
Mass_model_511,819663,1834.46,4.90434674114,22.9956532589,9.798684,CsI_Side_Segment_03_rectcut_window_band,csi,0.125
Mass_model_511,93477,2676.39,12.7353878553,15.1646121447,-21.31858,CsI_Side_Segment_07,csi,0.125
Mass_model_511,563414,465.71,5.73296070649,22.1670392935,-6.478484,CsI_Side_Segment_06,csi,0.125
Mass_model_511,447923,1213.9,12.1198218308,15.7801781692,-23.55809,CsI_Side_Segment_07,csi,0.125
Mass_model_511,45617,5575.25,3.8358875471,24.0641124529,-12.47677,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,330910,998.565,9.82757000766,18.0724299923,-17.3636,CsI_Side_Segment_07,csi,0.125
Mass_model_511,918001,510.999,21.2428115857,6.65718841434,-4.347354,Nb_MagShield_Inner_Cylinder_2mm,other_internal,0.125
Mass_model_511,185735,3872.68,3.6695028261,24.2304971739,-10.27917,CsI_Side_Segment_06,csi,0.125
Mass_model_511,747544,235.081,3.54530476175,24.3546952382,21.93038,XS400_Group2_Cu_Coarse_OffAxisContactBlock_60K300K,passive_w_or_collimator,0.125
Mass_model_511,42803,512.553,7.72397579445,20.1760242055,11.99431,CsI_Side_Segment_03_rectcut_window_band,csi,0.125
Mass_model_511,940702,548.627,7.11869480355,20.7813051964,-14.49434,CsI_Side_Segment_01,csi,0.125
Mass_model_511,649274,890.48,0.418270960449,27.4817290396,6.955399,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,904651,5395.55,8.69098561557,19.2090143844,-6.784342,Shield_60K_Al_side_window_side_wall_above_side_port,window,0.125
Mass_model_511,683935,6432.1,22.2893343246,5.61066567536,-25.93587,CsI_Side_Segment_07,csi,0.125
Mass_model_511,859047,3348.6,1.26367675459,26.6363232454,23.63738,XS400_Group2_Cu_Coarse_CurvedManifoldArc_60K300K,passive_w_or_collimator,0.125
Mass_model_511,606315,4818.86,26.0266326685,1.87336733154,-24.43953,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,542365,5775.33,12.7876570757,15.1123429243,-15.99806,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,879276,916.572,5.58461466134,22.3153853387,7.255481,CsI_Side_Segment_03_below_side_port,csi,0.125
Mass_model_511,34989,946.436,5.20594015364,22.6940598464,-0.525555,CsI_Bottom_Quadrant_02,csi,0.125
Mass_model_511,98140,826.852,4.83714457304,23.062855427,6.110246,CsI_Side_Segment_04_below_side_port,csi,0.125
Mass_model_511,494693,1003.76,9.87115169195,18.0288483081,12.15163,CsI_Side_Segment_04_rectcut_window_band,csi,0.125
Mass_model_511,730037,3196.65,3.56893887734,24.3310611227,-2.273828,CsI_TopAnnulus_Segment_06,csi,0.125
Mass_model_511,862630,6896.51,15.8819249955,12.0180750045,20.36052,ColdPlate_4K,cold_plates,0.125
