family,window,stage,group_by,group_value,events,fraction_of_stage
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,side_neg_x_window_axis_pm15deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi06_270deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,entry_region_proxy,top_phi04_180deg,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_category,geoopt_plastic_active,19,0.475
eplus,w2_510p58_511p42,active_veto_pass,first_hit_category,outer_mechanics,11,0.275
eplus,w2_510p58_511p42,active_veto_pass,first_hit_category,tes,10,0.25
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,13,0.325
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11,0.275
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,6,0.15
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L1_00360,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L2_00019,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L3_00081,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L2_00163,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L1_00007,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L0_00237,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L0_00046,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L4_00113,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L5_00006,1,0.025
eplus,w2_510p58_511p42,active_veto_pass,first_hit_volume,TP_L0_00360,1,0.025
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,side,13,0.37142857142857144
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,top,11,0.3142857142857143
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_surface_proxy,miss_current_outer_envelope,11,0.3142857142857143
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi04_180deg,4,0.11428571428571428
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi00_000deg,3,0.08571428571428572
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi02_090deg,3,0.08571428571428572
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi00_000deg,3,0.08571428571428572
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi06_270deg,3,0.08571428571428572
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi05_225deg,2,0.05714285714285714
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi01_045deg,2,0.05714285714285714
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi00_000deg,2,0.05714285714285714
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi05_225deg,2,0.05714285714285714
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi03_135deg,2,0.05714285714285714
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi06_270deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi03_135deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi05_225deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi01_045deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,phi02_090deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi02_090deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_phi07_315deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,side_neg_x_window_axis_pm15deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,entry_region_proxy,top_phi06_270deg,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_category,geoopt_plastic_active,17,0.4857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_category,outer_mechanics,11,0.3142857142857143
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_category,tes,7,0.2
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,12,0.34285714285714286
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11,0.3142857142857143
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,5,0.14285714285714285
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00019,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00081,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00163,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00237,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00046,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00006,1,0.02857142857142857
eplus,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00360,1,0.02857142857142857
n,w2_510p58_511p42,raw,entry_surface_proxy,side,29,0.48333333333333334
n,w2_510p58_511p42,raw,entry_surface_proxy,top,13,0.21666666666666667
n,w2_510p58_511p42,raw,entry_surface_proxy,bottom,10,0.16666666666666666
n,w2_510p58_511p42,raw,entry_surface_proxy,miss_current_outer_envelope,8,0.13333333333333333
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi02_090deg,7,0.11666666666666667
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi00_000deg,7,0.11666666666666667
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi07_315deg,4,0.06666666666666667
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi03_135deg,4,0.06666666666666667
n,w2_510p58_511p42,raw,entry_region_proxy,top_phi00_000deg,3,0.05
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi01_045deg,3,0.05
n,w2_510p58_511p42,raw,entry_region_proxy,top_phi06_270deg,3,0.05
n,w2_510p58_511p42,raw,entry_region_proxy,top_phi03_135deg,3,0.05
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi05_225deg,3,0.05
n,w2_510p58_511p42,raw,entry_region_proxy,phi05_225deg,2,0.03333333333333333
n,w2_510p58_511p42,raw,entry_region_proxy,bottom_phi03_135deg,2,0.03333333333333333
n,w2_510p58_511p42,raw,entry_region_proxy,phi03_135deg,2,0.03333333333333333
n,w2_510p58_511p42,raw,entry_region_proxy,bottom_phi04_180deg,2,0.03333333333333333
n,w2_510p58_511p42,raw,entry_region_proxy,top_phi01_045deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,side_phi06_270deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,bottom_phi01_045deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,phi06_270deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,phi01_045deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,top_phi07_315deg,1,0.016666666666666666
n,w2_510p58_511p42,raw,entry_region_proxy,bottom_phi05_225deg,1,0.016666666666666666
