raw_volume,ZA,exc_keV_decimal,custom_activity_Bq,native_store_activity_Bq,relative_delta,status
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L2_YM_panel,29064,0,0.001357560351456350565525705066,0.001357560351456350565525705066,0,PASS
Cu_SubstrateSupport_OpenRing_L2_YP_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L2_YP_panel,29066,0,0.001357560355436452260371930811,0.001357560355436452260371930811,0,PASS
Cu_SubstrateSupport_OpenRing_L2_ZM_panel,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_SubstrateSupport_OpenRing_L2_ZP_panel,29064,0,0.0013573254540831884092213007949,0.0013573254540831884092213007949,0,PASS
Cu_SubstrateSupport_OpenRing_L2_ZP_panel,29066,0,0.001357560355436452260371930811,0.001357560355436452260371930811,0,PASS
Cu_SubstrateSupport_OpenRing_L3_YM_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L3_ZM_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,29064,0,0.002036340527184525848288557599,0.002036340527184525848288557599,0,PASS
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,29066,0,0.001357560355436452260371930811,0.001357560355436452260371930811,0,PASS
Cu_SubstrateSupport_OpenRing_L4_YP_panel,29064,0,0.001357560351456350565525705066,0.001357560351456350565525705066,0,PASS
Cu_SubstrateSupport_OpenRing_L4_YP_panel,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,29064,0,0.001357560351456350565525705066,0.001357560351456350565525705066,0,PASS
Cu_SubstrateSupport_OpenRing_L4_ZP_panel,29062,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_SubstrateSupport_OpenRing_L4_ZP_panel,29064,0,0.000678780175728175282762852533,0.000678780175728175282762852533,0,PASS
Cu_SubstrateSupport_OpenRing_L5_YP_panel,29064,0,0.002036340527184525848288557599,0.002036340527184525848288557599,0,PASS
Cu_SubstrateSupport_OpenRing_L5_YP_panel,29066,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
Cu_SubstrateSupport_OpenRing_L5_ZP_panel,29064,0,0.001357560351456350565525705066,0.001357560351456350565525705066,0,PASS
Cu_SubstrateSupport_SolidDisk_L0_deepest,25052,0,0.0005730738874627298773919364988,0.0005730738874627298773919364988,0,PASS
Cu_SubstrateSupport_SolidDisk_L0_deepest,25053,0,0.000000000005222205058897137651868580012,0.000000000005222205058897137651868580012,0,PASS
Cu_SubstrateSupport_SolidDisk_L0_deepest,25054,0,0.00002224150686483417468136361507,0.00002224150686483417468136361507,0,PASS
