production_tag,raw_volume,ZA,exc_keV_decimal,direct_activity_Bq,tag_native_activity_Bq,relative_delta_vs_direct,classification
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,12025,585.04,0,0.0000881345,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,13028,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,15030,0,0.001357408327428607109018892409,0.00135741,0.0000012321800000000000000000745180918195892400000000000055529391662121509863200000004,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11022,0,0.000007384870456198248807516784355,0.00000738261,0.00030609287077630017808988961349839597085299002656355060908857417760572148944016137,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12023,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,0,0.00000000008083679732959707369912772942,0.0000000000808368,0.000000033034496844460558964536048229931007865239825285824963236524862941718106712923579,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,15030,0,0.002036112491142910663528338614,0.00203611,0.000001223480000000000000000171047790726192959999999999970742617491866146577920000005,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Passive_W_Bottom_Plate_detector_bay,74183,0,0,0,0,MATCH
alpha,Plate_300K_Top_Service_Lid,11022,0,0.000007384870456198248807516784355,0.00000738261,0.00030609287077630017808988961349839597085299002656355060908857417760572148944016137,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Plate_300K_Top_Service_Lid,11024,0,0.0006787041251925757230235456049,0.000678704,0.00000018445825076943707185412666895390730077458932623492335906601838031113807608867018,MATCH
alpha,Plate_300K_Top_Service_Lid,12027,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Plate_300K_Top_Service_Lid,13026,0,0.0000000001077823964394627649321703059,0.000000000107782,0.0000036781466720086985633432827835717843927437964849142516825592571065222520380808411,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Plate_300K_Top_Service_Lid,13028,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Plate_300K_Top_Service_Lid,15029,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Plate_300K_Top_Service_Lid,15030,0,0.001357408327428607109018892409,0.00135741,0.0000012321800000000000000000745180918195892400000000000055529391662121509863200000004,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,Plate_300K_Top_Service_Lid,9018,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Shield_4K_Al_side_window_side_wall_above_side_port,14027,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,13028,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Shield_60K_Al_side_window_side_wall_above_side_port,15030,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Shield_60K_Al_side_window_side_wall_below_side_port,12025,585.04,0,0.000000146805,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,Shield_60K_Al_side_window_side_wall_below_side_port,13025,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,Still_Shield_Al_side_window_side_wall_below_side_port,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,11024,0,0.0006787041251925757230235456049,0.000678704,0.00000018445825076943707185412666895390730077458932623492335906601838031113807608867018,MATCH
alpha,Vacuum_Jacket_Al_266mmClass_side_port_bottom_cap,13026,0,0.00000000002694559910986569123304257647,0.0000000000269456,0.000000033034496844460558964659754272979346589706788314528527722513054242617883734707147,MATCH
