mode,band,stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
buildup,b550_800,active_veto_pass,5,5,0.03392512318212227,0.033902373369550105,0.015171776316055874,0.015161602290578528,-2.2749812572164796e-05,0.021448938915529365,-0.0010606497907313065,-0.0006705889452496787,0.6322435087526062,-1.2398678661003577,1.2385266882098585
buildup,b550_800,side_compton_fov_pass,3,1,0.02035507390927336,0.006780474673910021,0.011752007400893704,0.006780474673910021,-0.013574599235363338,0.013567774863779086,-1.0005029838461184,-0.6668901963150832,0.6665549299527663,-1.973337859022505,0.6395574663923388
buildup,b800_1500,raw,49,70,0.3797593855249657,0.47455928479825216,0.07176947011290102,0.05672073016649269,0.09479989927328647,0.09147730904933019,1.0363214687717206,0.24963148479461147,0.240882286353174,-0.22249779645760956,0.7217607660468325
buildup,b800_1500,active_veto_pass,8,13,0.101748968457443,0.08814617076083027,0.05714656853999227,0.024447349108767554,-0.013602797696612726,0.062156280248595895,-0.21884832300465748,-0.1336897847991664,0.6108787262506064,-1.3310120882503549,1.063632518652022
buildup,b800_1500,side_compton_fov_pass,5,6,0.08139389454816963,0.040682848043460125,0.05592513404494775,0.016608703164943714,-0.040711046504709504,0.05833926326897337,-0.6978327154563315,-0.5001732222140611,0.7167523263608878,-1.9050077818814013,0.904661337453279
buildup,b1500_3000,raw,54,65,0.4139937941745837,0.4405742973332736,0.0733841413071149,0.05464659658212503,0.026580503158689872,0.09149580708093746,0.2905106147123953,0.06420507633860983,0.2210076778164291,-0.3689699721815912,0.4973801248588109
buildup,b1500_3000,active_veto_pass,13,12,0.13567409163956526,0.08136569608692025,0.05912624706913562,0.023488253269292346,-0.05430839555264501,0.06362083883542319,-0.8536258959604736,-0.4002856764792048,0.4689240080150283,-1.3193767321886603,0.5188053792302507
buildup,b1500_3000,side_compton_fov_pass,6,9,0.08817891918459408,0.06102427206519019,0.05633522146279591,0.020341424021730066,-0.027154647119403894,0.0598951643164461,-0.45336960720129005,-0.3079494211372477,0.6792458432276918,-1.6392712738635236,1.023372431589028
buildup,b3000_8000,raw,27,37,0.1832402293306655,0.2983369334429988,0.035264625691938625,0.06786248951481513,0.11509670411233328,0.07647817537272272,1.504961429210359,0.6281191883068206,0.4173656388233083,-0.1899174637868637,1.4461558404005048
buildup,b3000_8000,active_veto_pass,5,10,0.03392512318212227,0.11535104652704276,0.015171776316055874,0.05801010217764498,0.08142592334492049,0.059961277098184336,1.3579751347121678,2.400165886142751,1.7674593774145084,-1.0640544935896852,5.864386265875187
buildup,b3000_8000,side_compton_fov_pass,1,8,0.006785024636424454,0.10179009717922272,0.006785024636424454,0.05721208160042546,0.09500507254279826,0.057613009297993,1.6490211794249714,14.002170608604256,8.491201194569824,-2.640583732752596,30.64492494996111
