replica_index,response_seed,prompt_final_events,prompt_final_cps,delayed_final_events,delayed_final_cps,atm511_final_events,atm511_final_cps,science_final_events,science_unit_acceptance,day15_background_cps,day15_signal_cps,Z20d,flux_3sigma_20d_ph_cm2_s,reference_prompt_final_cps,reference_delayed_final_cps,reference_signal_final_cps,reference_Z20d,reference_flux_3sigma_20d_ph_cm2_s
42,26403899,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27916,0.7505511641662634,0.0060439261423447955,0.0011140797955940735,18.247210871481066,1.6440868805263607e-05,0.04341050545041831,0.0036999863806205166,0.0011147981447959898,6.689874915114494,4.4843887786632204e-05
43,26411818,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27869,0.7492875194923914,0.006012849397266183,0.0011122041060112925,18.259713065297586,1.642961195103045e-05,0.041375177586237086,0.0036999863806205166,0.0011139600707270876,6.834297815906611,4.389624334218499e-05
44,26419737,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27914,0.7504973920524817,0.00610607963250202,0.001113999979016083,18.160231187121052,1.6519613484477844e-05,0.04273206282902456,0.003984600717591325,0.0011174320918696827,6.734251633518508,4.4548379883342164e-05
45,26427656,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27974,0.7521105554659355,0.006075002887423408,0.0011163944763558037,18.24204260621092,1.6445526768907895e-05,0.04273217604009005,0.0036999863806205166,0.0011137206209931156,6.73211280963448,4.4562533113031494e-05
46,26435575,4,0.002714184522160414,30,0.0009323023523583617,9,0.0017496690209435383,27911,0.750416733881809,0.005396155895462313,0.0011138802541490968,19.28702666168647,1.5554497085647096e-05,0.04137529079730258,0.003984600717591325,0.0011162348431998223,6.827041891028194,4.3942897200359526e-05
47,26443494,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27960,0.7517341506694629,0.006075002887423408,0.0011158357603098688,18.232913101878996,1.6453761300989443e-05,0.04273228925115555,0.003842293549105921,0.0011173921835806874,6.7441235014897645,4.448317115392839e-05
48,26451413,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27911,0.750416733881809,0.00610607963250202,0.0011138802541490968,18.158279453981116,1.6521389086465815e-05,0.04341050545041831,0.003842293549105921,0.0011174320918696827,6.695725138101133,4.4804706557156885e-05
49,26459332,5,0.003393031514121508,30,0.0009323023523583617,8,0.0015552613519498118,27883,0.7496639242888639,0.005880595218429681,0.0011127628220572272,18.506037179423057,1.621092603950733e-05,0.04273206282902456,0.0035576792121351122,0.0011184697073835616,6.771058528266705,4.4306218702380024e-05
50,26467251,4,0.0027145856707217345,29,0.0009012256072797496,9,0.0017496690209435383,27882,0.749637038231973,0.005365480298945022,0.0011127229137682319,19.317396569539685,1.5530043032457594e-05,0.041375404008368075,0.003984600717591325,0.0011174320918696827,6.834355908576994,4.38958702199728e-05
51,26475170,5,0.003393031514121508,28,0.0008701488622011375,9,0.0017496690209435383,27913,0.7504705059955907,0.006012849397266183,0.0011139600707270876,18.288541777567897,1.6403713519028064e-05,0.041375177586237086,0.003842293549105921,0.0011190284234294965,6.85473988327097,4.37653368484706e-05
52,26483089,4,0.0027145856707217345,29,0.0009012256072797496,9,0.0017496690209435383,27944,0.7513039737592085,0.005365480298945022,0.0011151972276859433,19.360351823717508,1.5495586171759718e-05,0.041375177586237086,0.003984600717591325,0.0011201458555213661,6.850970711791931,4.378941505086837e-05
53,26491008,4,0.002714184522160414,30,0.0009323023523583617,9,0.0017496690209435383,27938,0.7511426574178632,0.005396155895462313,0.0011149577779519713,19.305684170470567,1.5539464820359572e-05,0.04069696138697434,0.003842293549105921,0.0011180706244936082,6.900892552710231,4.347263744632267e-05
54,26498927,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27811,0.7477281281927194,0.0060439261423447955,0.0011098894252495623,18.17857793136725,1.6502941051420097e-05,0.04341050545041831,0.0036999863806205166,0.0011160353017548455,6.697299067121387,4.479417702470097e-05
55,26506846,3,0.0020357386787606406,30,0.0009323023523583617,9,0.0017496690209435383,27889,0.7498252406302093,0.00471771005206254,0.0011130022717911992,20.57694348705753,1.4579424791086869e-05,0.04205373341869632,0.003842293549105921,0.0011168334675347525,6.790464689678477,4.417959796713188e-05
56,26514765,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27908,0.7503360757111364,0.00610607963250202,0.001113760529282111,18.156327721367422,1.6523165069715205e-05,0.041375404008368075,0.003984600717591325,0.0011167137426677663,6.829962336712858,4.392410751482779e-05
57,26522684,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,28002,0.7528633650588805,0.006075002887423408,0.0011175119084476733,18.260301597954776,1.6429082421815048e-05,0.04273206282902456,0.003842293549105921,0.0011200261306543802,6.760037342479771,4.437845307670322e-05
58,26530603,5,0.003393031514121508,25,0.0007769186269653012,8,0.0015552613519498118,27936,0.7510888853040814,0.005725211493036621,0.0011148779613739804,18.77141711769039,1.598174491137788e-05,0.041375177586237086,0.003842293549105921,0.0011159155768878596,6.8356717659854445,4.388742032536014e-05
59,26538522,5,0.003393031514121508,30,0.0009323023523583617,9,0.0017496690209435383,27909,0.7503629617680272,0.006075002887423408,0.0011138004375711062,18.199655642094605,1.6483828370143433e-05,0.04137529079730258,0.003842293549105921,0.0011161550266218317,6.83712996111111,4.387806019577938e-05
60,26546441,5,0.003393031514121508,27,0.0008390721171225254,9,0.0017496690209435383,27945,0.7513308598160995,0.005981772652187572,0.0011152371359749386,18.35315958103609,1.634595932517164e-05,0.041375177586237086,0.0036999863806205166,0.0011175119084476733,6.856088778296675,4.375672627660051e-05
61,26554360,5,0.003393031514121508,29,0.0009012256072797496,9,0.0017496690209435383,27943,0.7512770877023177,0.0060439261423447955,0.001115157319396948,18.264859335484047,1.642498277647149e-05,0.04273206282902456,0.0036999863806205166,0.0011200660389433755,6.770477235570645,4.431002270030005e-05
62,26562279,5,0.003393031514121508,31,0.0009633790974369737,9,0.0017496690209435383,27888,0.7497983545733184,0.00610607963250202,0.0011129623635022041,18.14331616332792,1.6535014729356556e-05,0.04273206282902456,0.003842293549105921,0.0011171926421357106,6.742935578782512,4.4491007884457245e-05
63,26570198,5,0.003393031514121508,27,0.0008390721171225254,9,0.0017496690209435383,27941,0.751223315588536,0.005981772652187572,0.0011150775028189574,18.350532541370416,1.63482993926015e-05,0.040696848175908844,0.003984600717591325,0.0011177114498926502,6.887850564939499,4.3554951892693266e-05
