event_index,stream,tag,local_id,primary,source_volume,component,rate_hz,tes_total_keV,bgo_total_keV,source_file
876489,delayed,activation,103580,Cu64,ColdPlate_CP_100mK_intercept,delayed:Cu64:ColdPlate_CP_100mK_intercept,8.672670468210059e-05,510.99899999999997,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
910241,delayed,activation,143947,Cu61,ColdPlate_CP_100mK_intercept,delayed:Cu61:ColdPlate_CP_100mK_intercept,8.672670468210059e-05,510.99891,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
920627,delayed,activation,156290,Cu62,ColdPlate_MXC_50mK_SD_anchor,delayed:Cu62:ColdPlate_MXC_50mK_SD_anchor,8.672670468210059e-05,510.998867,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
959091,delayed,activation,202308,Cu64,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,delayed:Cu64:Cu_SubstrateSupport_OpenRing_L3_ZP_panel,8.672670468210059e-05,510.998918,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
974838,delayed,activation,221039,Cu64,ColdPlate_MXC_50mK_SD_anchor,delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,8.672670468210059e-05,510.998914,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
975575,delayed,activation,221918,Cu64,Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed:Cu64:Cu_SubstrateSupport_SolidDisk_L0_deepest,8.672670468210059e-05,510.99892700000004,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
997185,delayed,activation,247669,Cu64,ColdPlate_4K,delayed:Cu64:ColdPlate_4K,8.672670468210059e-05,510.998953,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
998411,delayed,activation,249144,Cu64,Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed:Cu64:Cu_SubstrateSupport_SolidDisk_L0_deepest,8.672670468210059e-05,510.99888999999996,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
1002782,delayed,activation,254423,Cu64,ColdPlate_MXC_50mK_SD_anchor,delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,8.672670468210059e-05,510.99895,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
1024926,delayed,activation,280950,Cu64,ColdPlate_MXC_50mK_SD_anchor,delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,8.672670468210059e-05,510.99892200000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_delayed_transport_v3p5_centerfinger_fullstat_v2_exactpos/DelayedDecayRPIPGroundStateFixed.inc1.id1.sim.gz
